City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Santa Rosa,PH,14.3122,121.1114,80.91,95,100,16.69,heavy intensity rain
300,Brighton,GB,50.8284,-0.1395,64.81,75,100,1.99,overcast clouds
301,Jardim,BR,-21.4803,-56.1381,83.37,28,0,4.38,clear sky
302,Lunglei,IN,22.8833,92.7333,68.16,97,99,2.59,overcast clouds
303,Bathsheba,BB,13.2167,-59.5167,82.44,76,12,14.0,few clouds
304,Sassandra,CI,4.95,-6.0833,73.87,83,59,6.38,broken clouds
305,Bilibino,RU,68.0546,166.4372,57.67,77,94,4.7,light rain
306,Kulhudhuffushi,MV,6.6221,73.07,81.9,79,100,14.27,overcast clouds
307,Coihaique,CL,-45.5752,-72.0662,38.52,91,57,6.44,broken clouds
308,Nouadhibou,MR,20.931,-17.0347,68.2,89,0,18.97,clear sky
309,Marsh Harbour,BS,26.5412,-77.0636,83.21,69,100,2.15,overcast clouds
310,Mayo,US,38.8876,-76.5119,88.09,46,3,5.01,clear sky
311,Quthing,LS,-30.4,27.7003,31.19,51,3,5.61,clear sky
312,Pevek,RU,69.7008,170.3133,38.91,89,100,7.61,light rain
313,Hasaki,JP,35.7333,140.8333,75.6,83,0,2.44,clear sky
314,Senges,BR,-24.1128,-49.4636,62.29,65,0,3.71,clear sky
315,Pangnirtung,CA,66.1451,-65.7125,47.68,75,99,7.65,overcast clouds
316,Sayyan,YE,15.1718,44.3244,59.25,80,100,6.22,overcast clouds
317,Mount Isa,AU,-20.7333,139.5,49.77,66,36,1.14,scattered clouds
318,Bundaberg,AU,-24.85,152.35,68.22,93,60,1.99,broken clouds
319,Valparaiso,CL,-33.0393,-71.6273,54.52,87,90,6.91,fog
320,Chulym,RU,55.0997,80.9572,62.89,81,100,6.08,overcast clouds
321,Ballina,AU,-28.8667,153.5667,55.78,89,7,8.52,clear sky
322,Sobrance,SK,48.7445,22.1814,71.02,77,8,4.38,clear sky
